Episode No.,Run0steps,Run1steps,Run2steps,Run3steps,Run4steps,Run5steps,Run6steps,Run7steps,Run8steps,Run9steps,
427,8,8,8,10,8,8,10,8,10,8,
428,8,8,8,8,8,8,8,12,13,8,
429,8,10,8,12,10,10,8,10,8,12,
430,8,8,8,10,10,8,10,8,8,18,
431,8,10,8,8,8,8,10,8,8,8,
432,8,10,8,8,21,8,10,8,8,8,
433,8,10,8,8,12,8,8,8,8,8,
434,10,8,8,10,8,10,14,8,12,8,
435,12,8,12,8,8,10,8,8,8,8,
436,10,8,12,10,8,8,12,8,8,8,
437,8,8,10,8,12,8,8,8,8,8,
438,8,10,8,8,10,10,8,10,8,8,
439,8,8,10,8,8,10,10,10,8,13,
440,8,8,10,10,8,8,10,8,10,10,
441,8,8,12,8,10,8,10,8,12,8,
442,8,8,8,8,8,8,8,10,10,12,
443,8,10,10,8,8,10,10,12,8,8,
444,8,8,8,8,8,10,8,12,10,10,
445,10,8,10,8,12,8,8,8,8,10,
446,10,8,10,8,10,8,8,8,8,10,
447,8,8,10,8,8,8,8,10,12,8,
448,8,8,10,8,8,8,10,8,8,8,
449,8,8,10,8,12,8,10,8,14,8,
450,12,10,8,8,12,10,8,8,10,10,
451,10,8,10,10,10,10,8,8,8,10,
452,8,8,10,8,10,12,12,10,8,8,
453,8,8,8,10,12,8,8,10,10,8,
454,10,12,8,10,8,8,8,10,8,8,
455,29,10,8,8,8,8,8,8,12,8,
456,8,10,14,8,10,8,10,8,8,8,
457,8,14,8,8,8,10,8,8,10,12,
458,12,10,8,8,10,8,10,8,8,12,
459,8,8,8,8,10,12,8,12,10,8,
460,8,8,14,8,8,10,10,10,8,8,
461,12,8,10,8,10,8,10,8,10,10,
462,8,8,8,12,8,8,8,8,8,10,
463,10,10,8,8,12,8,10,8,8,12,
464,8,8,8,16,8,8,8,10,10,8,
465,10,10,16,8,10,8,8,14,8,8,
466,8,8,8,8,10,12,8,8,10,10,
467,8,10,8,10,10,8,10,16,8,8,
468,10,8,8,10,10,16,10,10,10,8,
469,10,8,8,8,8,10,8,8,10,14,
470,10,14,8,8,8,10,8,10,8,8,
471,8,10,8,8,8,10,8,10,8,8,
472,8,8,8,8,8,8,8,10,10,8,
473,10,8,8,12,8,8,8,8,8,8,
474,8,10,8,8,10,8,14,8,12,8,
475,10,8,10,8,8,8,8,8,12,8,
476,12,8,8,8,8,8,12,8,8,8,
477,12,8,8,10,8,10,8,10,10,8,
478,8,8,10,10,8,8,8,10,8,8,
479,10,10,8,8,10,8,8,10,8,10,
480,8,8,8,8,10,10,8,10,12,10,
481,8,10,10,12,8,8,8,8,10,10,
482,8,8,8,8,8,12,8,8,10,8,
483,8,8,8,8,10,8,10,10,8,8,
484,8,8,8,14,10,8,8,8,8,10,
485,8,10,8,8,10,8,8,8,10,8,
486,10,8,8,8,8,8,8,8,12,8,
487,12,10,8,14,8,12,8,12,10,12,
488,8,22,8,8,8,8,8,8,12,8,
489,8,8,8,8,8,10,8,12,10,8,
490,8,8,8,10,8,8,8,10,10,12,
491,12,10,8,8,8,8,10,8,12,8,
492,10,12,10,8,8,8,10,10,10,8,
493,8,8,8,10,12,8,10,8,8,10,
494,12,12,8,8,10,10,8,10,8,10,
495,8,10,10,8,8,8,8,8,8,8,
496,10,8,10,8,8,8,12,8,8,8,
497,10,10,8,8,10,10,8,8,8,8,
498,8,8,12,8,8,8,8,8,10,8,
499,10,8,10,10,12,10,8,10,8,8,
500,8,14,8,10,8,8,8,10,10,8,
501,8,10,8,8,8,8,8,8,12,8,
502,8,8,10,8,12,10,8,10,8,8,
503,10,8,10,12,8,8,8,10,10,8,
504,8,10,8,10,10,8,8,8,8,10,
505,10,8,10,12,8,8,8,10,8,10,
506,8,8,8,14,8,10,8,12,8,8,
507,8,10,10,10,10,8,8,8,8,8,
508,14,10,8,8,8,8,10,8,8,10,
509,8,8,10,8,8,10,12,8,8,10,
510,14,14,8,8,8,10,8,8,10,8,
511,10,10,10,8,10,12,8,8,8,10,
512,8,10,8,8,10,10,10,10,10,8,
513,8,8,8,8,8,8,8,8,8,8,
514,8,8,8,8,8,8,12,8,14,21,
515,8,8,8,8,10,8,8,8,8,8,
516,8,8,10,8,8,10,8,10,8,8,
517,8,8,8,14,8,12,10,8,8,8,
518,8,10,8,8,8,8,10,10,8,10,
519,12,8,8,8,10,8,10,8,8,8,
520,8,8,8,8,8,8,8,8,8,10,
521,8,8,8,10,8,8,8,10,8,8,
522,8,16,8,10,10,8,8,8,8,10,
523,8,8,10,10,10,8,12,8,8,8,
524,8,10,8,8,8,14,8,10,8,8,
525,8,8,12,8,8,8,10,10,8,8,
526,8,14,8,10,8,8,10,8,10,8,
527,14,8,8,8,8,10,8,10,10,8,
528,10,8,8,10,8,10,12,8,8,10,
529,8,10,10,8,8,8,8,8,8,8,
530,8,10,8,10,8,10,10,8,10,8,
531,8,12,8,10,10,10,8,8,10,10,
532,8,12,8,8,8,8,8,8,10,8,
533,8,10,10,8,10,8,8,8,10,8,
534,8,8,8,8,8,10,8,8,8,10,
535,12,8,8,8,8,10,10,8,8,10,
536,8,8,8,8,8,8,8,8,10,8,
537,8,8,10,10,8,8,8,8,8,8,
538,10,8,8,8,8,8,10,8,8,8,
539,8,10,10,10,8,8,10,14,8,8,
540,10,8,10,8,8,8,10,8,8,8,
541,10,8,8,8,12,8,8,8,8,8,
542,8,8,8,12,8,8,8,10,10,8,
543,8,8,14,8,8,8,8,8,8,8,
544,8,8,10,8,8,8,10,12,8,12,
545,8,12,8,8,10,12,8,10,12,10,
546,8,8,8,10,8,14,10,10,8,8,
547,8,10,8,8,12,8,10,10,8,8,
548,10,8,8,8,8,8,8,8,8,8,
549,8,10,8,8,8,12,12,10,10,8,
550,10,12,8,8,8,8,8,8,8,10,
551,8,8,8,8,8,10,8,10,16,10,
